ingredient_id,ingredient,condition_id,condition,canonical_condition_id,canonical_condition,relationship,evidence,dose,pmids,source,source_url
ashwagandha,Ashwagandha,anxiety,Anxiety,anxiety,Anxiety,therapeutic-dose,,300-600 mg KSM-66,31517876,evidence-engine.clinical_doses,
ashwagandha,Ashwagandha,anxiety-depression,Anxiety Depression,anxiety-depression,Anxiety Depression,reviewed-on-site,,,28654669; 23439798; 22364157; 28445426; 33864354; 11794633; 22293292; 31517876,condition-protocol,/conditions/anxiety-depression/
ashwagandha,Ashwagandha,anxiety-stress,Anxiety Stress,anxiety,Anxiety,reviewed-on-site,,,31517876; 36017529; 27055824,site-page,/ashwagandha/for-anxiety-stress/
ashwagandha,Ashwagandha,sleep,Sleep,sleep,Sleep,therapeutic-dose,,125-300 mg,32540634,evidence-engine.clinical_doses,
ashwagandha,Ashwagandha,sleep,Sleep,sleep,Sleep,reviewed-on-site,,,34559859; 32818573,site-page,/ashwagandha/for-sleep/
ashwagandha,Ashwagandha,stress,Stress,stress,Stress,therapeutic-dose,,300-600 mg KSM-66 extract,23439798,evidence-engine.clinical_doses,
ashwagandha,Ashwagandha,stress,Stress,stress,Stress,reviewed-on-site,,,23439798; 28445426; 31623400,condition-protocol,/conditions/stress/
berberine,Berberine,blood-sugar,Blood Sugar,blood-sugar,Blood Sugar,reviewed-on-site,,,38016844; 34956436; 18397984,site-page,/berberine/for-blood-sugar/
berberine,Berberine,pcos,Pcos,pcos,Pcos,reviewed-on-site,,,,condition-protocol,/conditions/pcos/
biotin,Biotin,hair-growth,Hair Growth,hair-health,Hair Health,reviewed-on-site,,,28879195,site-page,/biotin/for-hair-growth/
biotin,Biotin,hair-maintenance,Hair Maintenance,hair-health,Hair Health,therapeutic-dose,,2500-5000 mcg,,evidence-engine.clinical_doses,
biotin,Biotin,nails,Nails,nails,Nails,reviewed-on-site,,,8477615; 28879195,site-page,/biotin/for-nails/
calcium,Calcium,bones-osteoporosis,Bones Osteoporosis,osteoporosis,Osteoporosis / Bone Health,reviewed-on-site,,,29279934; 26510847; 21505219,site-page,/calcium/for-bones-osteoporosis/
calcium,Calcium,muscle-cramps,Muscle Cramps,muscle-cramps,Muscle Cramps,deficiency-symptom,moderate,,,matrix.deficiency_symptoms,/symptoms/leg-cramps-at-night/
calcium,Calcium,osteoporosis,Osteoporosis,osteoporosis,Osteoporosis / Bone Health,therapeutic-dose,,1000-1200 mg,,evidence-engine.clinical_doses,
calcium,Calcium,women-over-50,Women Over 50,women-over-50,Women Over 50,reviewed-on-site,,,29279934; 21505219,site-page,/calcium/for-women-over-50/
chondroitin,Chondroitin,joint-pain,Joint Pain,joint-pain,Joint Pain,reviewed-on-site,,,,condition-protocol,/conditions/joint-pain/
chondroitin,Chondroitin,osteoarthritis,Osteoarthritis,osteoarthritis,Osteoarthritis,reviewed-on-site,,,25589511; 30575881,site-page,/chondroitin/for-osteoarthritis/
collagen,Collagen,joint-pain,Joint Pain,joint-pain,Joint Pain,reviewed-on-site,,,,condition-protocol,/conditions/joint-pain/
collagen,Collagen,skin,Skin,skin,Skin,reviewed-on-site,,,23949208; 37432180; 24401291; 31627309,site-page,/collagen/for-skin/
coq10,CoQ10,afternoon-energy-crash,Afternoon Energy Crash,fatigue,Fatigue & Low Energy,deficiency-symptom,moderate,,,matrix.deficiency_symptoms,/symptoms/afternoon-crash/
coq10,CoQ10,always-tired,Always Tired,fatigue,Fatigue & Low Energy,deficiency-symptom,moderate,,,matrix.deficiency_symptoms,/symptoms/always-tired/
coq10,CoQ10,fatigue,Fatigue,fatigue,Fatigue & Low Energy,reviewed-on-site,,,22777991; 25282031; 28925645,condition-protocol,/conditions/fatigue/
coq10,CoQ10,heart-failure,Heart Failure,heart-failure,Heart Failure,therapeutic-dose,,200-400 mg,,evidence-engine.clinical_doses,
coq10,CoQ10,heart-palpitations,Heart Palpitations,heart-palpitations,Heart Palpitations,deficiency-symptom,moderate,,,matrix.deficiency_symptoms,/symptoms/heart-palpitations/
coq10,CoQ10,statin-support,Statin Support,statin-support,Statin Support,therapeutic-dose,,100-200 mg,30371340,evidence-engine.clinical_doses,
coq10,CoQ10,statins,Statins,statins,Statins,reviewed-on-site,,,30371340; 32179207; 25282031,site-page,/coq10/for-statins/
creatine,Creatine,brain,Brain,brain,Brain,reviewed-on-site,,,35984306; 38418482; 39070254; 28615996,site-page,/creatine/for-brain/
creatine,Creatine,muscle-building,Muscle Building,muscle-building,Muscle Building,reviewed-on-site,,,37432300; 28615996; 34199420; 33557850,site-page,/creatine/best-for-muscle-building/
creatine,Creatine,women,Women,women,Women,reviewed-on-site,,,28615996; 42141930; 40371844; 35984306; 39070254,site-page,/creatine/best-for-women/
curcumin,Curcumin,joint-pain,Joint Pain,joint-pain,Joint Pain,reviewed-on-site,,,38036015; 33500785; 36804260,site-page,/curcumin/for-joint-pain/
electrolytes,Electrolytes,athletic,Athletic,athletic,Athletic,therapeutic-dose,,500-1500 mg sodium per hour of exercise,,evidence-engine.clinical_doses,
electrolytes,Electrolytes,fasting-keto,Fasting Keto,fasting-keto,Fasting Keto,therapeutic-dose,,2000-5000 mg sodium per day,,evidence-engine.clinical_doses,
folate,Folate / Methylfolate,always-tired,Always Tired,fatigue,Fatigue & Low Energy,deficiency-symptom,moderate,,,matrix.deficiency_symptoms,/symptoms/always-tired/
folate,Folate / Methylfolate,depression,Depression,depression,Depression,reviewed-on-site,,,24813065; 27035404,site-page,/methylfolate/for-depression/
folate,Folate / Methylfolate,feeling-depressed,Feeling Depressed,depression,Depression,deficiency-symptom,strong,,22950138,matrix.deficiency_symptoms,/symptoms/feeling-depressed/
glucosamine,Glucosamine,joint-pain,Joint Pain,joint-pain,Joint Pain,reviewed-on-site,,,,condition-protocol,/conditions/joint-pain/
glucosamine,Glucosamine,osteoarthritis,Osteoarthritis,osteoarthritis,Osteoarthritis,reviewed-on-site,,,20525840; 15846645; 25589511,site-page,/glucosamine/for-osteoarthritis/
iron,Iron,afternoon-energy-crash,Afternoon Energy Crash,fatigue,Fatigue & Low Energy,deficiency-symptom,moderate,,,matrix.deficiency_symptoms,/symptoms/afternoon-crash/
iron,Iron,always-tired,Always Tired,fatigue,Fatigue & Low Energy,deficiency-symptom,strong,,17344500,matrix.deficiency_symptoms,/symptoms/always-tired/
iron,Iron,anemia-low-ferritin,Anemia Low Ferritin,anemia-low-ferritin,Anemia Low Ferritin,reviewed-on-site,,,29032957; 37979057; 38864796,site-page,/iron/for-anemia-low-ferritin/
iron,Iron,brain-fog,Brain Fog,brain-fog,Brain Fog,deficiency-symptom,moderate,,17344500,matrix.deficiency_symptoms,/symptoms/brain-fog/
iron,Iron,deficiency,Deficiency,deficiency,Deficiency,therapeutic-dose,,25-65 mg elemental,,evidence-engine.clinical_doses,
iron,Iron,fatigue,Fatigue,fatigue,Fatigue & Low Energy,reviewed-on-site,,,22777991; 25282031; 28925645,condition-protocol,/conditions/fatigue/
iron,Iron,hair-falling-out,Hair Falling Out,hair-health,Hair Health,deficiency-symptom,strong,,,matrix.deficiency_symptoms,/symptoms/hair-falling-out/
